Movie_Name,Duration,Year,Rating,Rating_count
Mili,2h 7m,2022,6.7,11000
Luck by Chance,2h 36m,2009,7.1,11000
Josh,2h 42m,2000,6.1,11000
Chaman Bahaar,1h 51m,2020,6.9,11000
Gunda,2h 9m,1998,7.3,11000
Sanak,1h 56m,2021,6.6,11000
Phone Bhoot,2h 16m,2022,5.2,11000
Shootout at Lokhandwala,2h 2m,2007,7.1,11000
Roohi,2h 14m,2021,4.3,11000
Aitraaz,2h 40m,2004,6.6,11000
Vivah,2h 40m,2006,6.7,11000
Chhatriwali,1h 56m,2023,6.6,11000
Housefull 3,2h 20m,2016,4.9,11000
Tere Bin Laden,1h 35m,2010,7.2,11000
Golmaal Again,2h 20m,2017,5,11000
Ladies vs. Ricky Bahl,2h 20m,2011,6,11000
Kuttey,1h 49m,2023,5.5,11000
Taxi No. 9 2 11: Nau Do Gyarah,1h 56m,2006,7.3,11000
Son of Sardaar,2h 21m,2012,4.2,11000
Love Aaj Kal 2,2h 22m,2020,4.7,11000
Shubh Mangal Zyada Saavdhan,1h 57m,2020,5.8,11000
Heropanti,2h 26m,2014,5.2,11000
Mangal Pandey: The Rising,2h 30m,2005,6.5,11000
IB71,1h 57m,2023,7.2,11000
Dhadak,2h 18m,2018,4.6,11000
Shanghai,2h,2012,7.2,11000
Govinda Naam Mera,2h 11m,2022,6.5,11000
The Silence of Swastika,2h 11m,2021,9.2,11000
Rangeela,2h 22m,1995,7.4,11000
De Dana Dan,2h 42m,2009,5.8,11000
The Dirty Picture,2h 25m,2011,6.6,11000
Mardaani 2,1h 43m,2019,7.3,10000
Pagglait,1h 54m,2021,6.9,10000
Bhavesh Joshi,2h 34m,2018,7.6,10000
D-Day,2h 33m,2013,7.2,10000
Mere Brother Ki Dulhan,2h 19m,2011,5.9,10000
Shuddh Desi Romance,2h 21m,2013,5.8,10000
Ganapath,2h 13m,2023,2.8,10000
Baaghi,2h 13m,2016,5.3,10000
Salaam Bombay!,1h 49m,1988,7.9,10000
Waqt: The Race Against Time,2h 33m,2005,6.7,10000
Khaali Peeli,1h 59m,2020,2.5,10000
Mrs. Chatterjee vs. Norway,2h 24m,2023,7.3,10000
Maharaj,2h 11m,2024,6.5,10000
Srikanth,2h 14m,2024,7.5,10000
Goodbye,2h 10m,2022,6.7,10000
Singham Returns,2h 22m,2014,5.7,10000
Phantom,2h 16m,2015,6,10000
Bol Bachchan,2h 35m,2012,5.6,9900
Koyla,2h 46m,1997,6.2,9900
Mumbai Saga,2h 15m,2021,5.8,9900
Main Tera Hero,2h 8m,2014,5.1,9900
Blackout,2h 2m,2024,6.6,9900
The Sky Is Pink,2h 23m,2019,7.6,9900
Mother India,2h 52m,1957,7.8,9900
Mrs Undercover,1h 47m,2023,5.6,9800
Golmaal 3,2h 35m,2010,5.6,9800
Hum Saath-Saath Hain,2h 57m,1999,6.3,9800
Qarib Qarib Single,2h 5m,2017,7.1,9800
Shakuntala Devi,2h 7m,2020,6.1,9800
State of Siege: Temple Attack,1h 50m,2021,7.7,9800
It's Entertainment,2h 20m,2014,4.5,9700
Ab Tak Chhappan,2h 9m,2004,7.8,9700
Parineeta,2h 10m,2005,7.2,9600
Patiala House,2h 20m,2011,5.6,9600
Kaagaz,1h 49m,2021,7.3,9600
Made in China,2h 34m,2009,4.3,9600
Agneepath,2h 54m,1990,7.6,9500
Yuva,2h 41m,2004,7.3,9400
India Lockdown,1h 57m,2022,7.2,9400
Himmatwala,2h 30m,2013,1.7,9300
Sui Dhaaga,2h 2m,2018,6.8,9300
Manmarziyaan,2h 36m,2018,6.9,9300
Jaan-E-Mann,2h 45m,2006,6.1,9200
Hulchul,2h 29m,2004,7,9200
Rehnaa Hai Terre Dil Mein,2h 40m,2001,7.5,9200
Ajnabee,2h 45m,2001,6.3,9200
Awara Paagal Deewana,2h 38m,2002,6.3,9200
Singh Is Bliing,2h 21m,2015,5,9200
Khoobsurat,2h 10m,2014,6.4,9200
Golmaal Returns,2h 15m,2008,5.2,9200
Babli Bouncer,1h 58m,2022,6.5,9100
Love Per Square Foot,2h 13m,2018,7.1,9100
De De Pyaar De,2h 15m,2019,6.5,9100
Sandeep Aur Pinky Faraar,2h 5m,2021,6.3,9100
Rocky Handsome,1h 59m,2016,6.8,9100
No Smoking,2h 8m,2007,7.3,9100
Mard Ko Dard Nahin Hota,2h 14m,2018,7.3,900
Kathal: A Jackfruit Mystery,1h 55m,2023,6.7,900
Shaitan,2h 1m,2011,7.2,900
Dishoom,2h 4m,2016,5.1,8900
Mughal-E-Azam,3h 17m,1960,8.1,8900
PM Narendra Modi,2h 16m,2019,3,8900
Veer,2h 49m,2010,4.6,8800
Humshakals,2h 39m,2014,1.7,8800
Manorama: Six Feet Under,2h 17m,2007,7.5,8800
Mohra,2h 57m,1994,7,8700
Sir,1h 39m,2018,7.7,8700
I Hate Luv Storys,2h 9m,2010,5.7,8700
